Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Tiempo
68223.96138000028,9704.72511109413,103.57798380589293,-41175.51191753292,-23092.324804344753,-60370.72066911706,-26979.315516867104,79782.45076923976,0.096
68227.49295562423,9690.77762255402,81.963846917611,-41196.723723021,-23113.916589488577,-60389.40672748169,-26996.638118819967,79761.88716434088,0.1
68224.29665616712,9685.6367213293,90.88219295527851,-41186.35251359374,-23105.020595195365,-60374.45341044109,-26982.28829887966,79773.84534762446,0.104
68232.34328417103,9702.668750604244,95.82192847990137,-41180.47400480199,-23101.71253701598,-60366.85381732629,-26976.409790087917,79781.55669946155,0.108
68212.09260369452,9687.670730074731,131.74118181957982,-41147.125202074676,-23069.03428662232,-60342.71393331456,-26953.99099039924,79813.56439752155,0.112
68200.76026925567,9666.280110631003,138.44670515617196,-41141.514914216394,-23062.79814991929,-60345.99963974949,-26956.740254967244,79819.55466503557,0.116
68209.81272576007,9675.489029346589,131.74118181957982,-41145.225303795974,-23066.352077287684,-60353.04043925291,-26963.177557370374,79819.46525805775,0.12
68233.08089173805,9707.787300084508,90.5245650439936,-41182.01627516941,-23105.735851017937,-60387.3056635029,-26996.01226997522,79781.66845818382,0.124
68215.75828978518,9699.15952672476,91.35157958883997,-41182.79858622534,-23106.473458584962,-60387.3056635029,-26992.10071469554,79777.04164708158,0.128
68200.71556576676,9674.594959568378,108.31655363041803,-41169.38753955216,-23089.977871176943,-60372.88878832922,-26980.120179667498,79790.11741758793,0.132
68204.29184487961,9679.579398581911,106.57311756290407,-41166.90649591762,-23089.396725821105,-60368.28432897143,-26977.080342421574,79794.29719380107,0.136
68215.46771710727,9692.92339002173,120.98999273657714,-41147.37107126368,-23072.454103523985,-60354.94033753161,-26963.0657986481,79815.91133068936,0.14
68213.45606010628,9695.382081911812,129.4389521406832,-41138.318614759286,-23065.256841809376,-60353.442770653106,-26962.797577714635,79825.36611859396,0.144
68209.47744959325,9682.574532338922,104.27088788400745,-41165.87831567268,-23095.074068912756,-60381.605968666794,-26991.43016236188,79796.97940313572,0.148
68210.79620251611,9676.539561335989,95.576059290893,-41171.95799016452,-23104.551208561803,-60382.67885240065,-26993.330060640583,79790.89972864387,0.152
68222.84379277752,9697.036111001506,79.95218991663336,-41181.05515015783,-23117.89520000162,-60387.57388443636,-26998.783886287678,79782.54017621759,0.156
68218.48520260873,9702.691102348697,93.89967845674497,-41165.27481857238,-23101.66783352707,-60373.17936100714,-26982.109484924018,79797.9852316362,0.16
68206.63877804742,9680.898151504774,108.02598095249904,-41154.07659460027,-23088.390897320616,-60367.12203825975,-26976.34273485455,79807.2835573296,0.164
68205.58824605802,9667.82238099842,105.58964080687056,-41151.48379224346,-23087.608586264683,-60367.502017915496,-26975.58277554307,79808.89288293039,0.168
68220.0498247206,9683.088622461393,95.55370754643769,-41156.80350742382,-23094.135295645632,-60372.19588425111,-26981.058952934618,79805.31660381754,0.172
68229.43755739184,9706.893230306296,63.09897459733184,-41185.145519393154,-23123.52783960436,-60398.9062188752,-27008.998633503754,79776.46050172574,0.176
68215.51242059618,9693.996273755583,50.470238980083344,-41199.338877122274,-23134.703711832015,-60406.52816373446,-27016.754688829744,79763.60824866394,0.18
